cbo,wmc,dit
2,4,1
13,8,1
7,2,1
3,23,1
0,0,1
20,10,2
2,2,2
33,72,1
18,7,2
21,43,1
2,6,1
1,1,1
1,19,1
5,2,1
16,24,2
0,7,1
0,0,1
1,8,1
18,4,2
21,22,2
1,9,1
0,0,1
0,18,1
7,21,1
3,9,2
1,17,2
20,7,2
1,1,1
21,16,1
18,10,2
3,8,1
9,18,2
12,4,3
5,15,1
2,3,2
14,20,1
5,1,3
11,3,1
20,10,2
0,4,1
10,16,1
8,8,1
3,19,1
0,6,1
26,15,1
7,2,2
1,5,1
1,62,1
0,8,3
37,86,1
5,4,1
0,4,1
3,8,1
18,5,2
7,2,2
10,8,2
24,14,2
15,11,1
8,12,1
21,13,1
1,17,1
4,19,1
3,17,1
5,2,1
15,54,1
6,3,1
15,53,1
10,9,1
18,92,1
1,6,1
1,22,1
15,6,2
9,41,1
0,3,1
1,1,1
5,4,1
11,14,1
2,0,1
0,30,1
2,3,2
1,1,3
1,5,1
18,14,2
19,8,1
0,2,1
10,22,1
1,1,1
5,4,1
1,18,1
1,1,3
0,10,1
17,4,2
0,4,1
2,2,1
25,17,2
2,16,1
4,10,1
7,10,1
26,12,1
7,12,1
1,13,1
0,2,1
0,0,1
36,135,1
0,1,1
2,22,2
4,5,1
2,7,1
0,10,1
2,3,2
0,0,1
15,7,1
4,5,1
60,113,1
1,28,2
2,1,1
7,2,2
2,25,1
38,52,1
0,0,1
5,3,1
3,7,1
0,0,1
7,30,1
3,7,1
34,63,2
11,22,1
0,18,1
16,7,1
36,111,1
1,1,1
0,4,1
8,32,1
1,7,1
5,1,1
0,2,1
3,49,1
8,26,1
0,5,1
4,36,2
7,5,1
2,11,2
26,16,1
4,14,1
0,6,1
7,1,1
12,18,1
11,15,1
1,22,1
20,22,1
6,3,1
14,7,1
27,40,2
28,17,2
4,6,1
0,1,1
4,115,1
1,4,2
1,17,1
0,1,1
7,6,1
9,10,1
17,12,1
2,11,1
39,177,1
21,26,1
1,25,1
3,18,1
10,2,1
23,13,1
15,69,1
10,11,1
2,8,1
2,1,1
12,10,1
1,17,2
6,3,1
5,22,1
26,17,2
3,57,1
2,0,1
1,1,1
36,117,1
12,4,2
24,30,1
2,8,1
2,3,1
17,8,1
1,10,2
4,12,1
6,23,1
2,4,1
22,12,1
1,44,1
0,4,1
8,12,1
31,18,2
2,10,1
1,10,1
12,3,1
1,8,2
13,71,1
0,3,1
21,29,1
4,7,1
11,25,1
1,1,1
2,3,1
2,12,1
3,6,1
15,51,1
0,10,1
12,34,1
8,39,3
6,3,1
10,3,1
20,12,1
0,0,1
8,11,1
8,1,1
11,17,1
17,4,2
5,5,1
11,25,1
13,2,1
2,0,1
26,28,1
8,17,2
7,2,1
1,4,2
2,3,1
6,13,1
39,30,1
5,33,1
4,1,1
1,1,1
3,5,1
1,6,1
8,4,1
2,4,1
0,0,1
0,8,1
2,2,1
5,18,1
7,5,2
1,5,1
3,83,1
1,23,1
35,23,1
14,27,1
1,2,1
14,7,1
1,3,1
2,15,1
4,16,1
0,0,1
7,6,1
16,12,1
15,34,1
0,0,1
29,17,1
14,13,1
1,6,1
0,69,1
4,2,1
23,21,1
7,1,1
0,16,1
0,20,1
8,10,1
3,14,1
0,0,1
19,25,1
0,0,1
2,16,1
4,5,1
6,15,1
1,15,1
1,1,1
1,1,1
27,163,1
23,15,2
0,1,1
34,35,2
19,5,2
4,13,1
23,17,2
26,16,2
1,0,1
0,4,3
2,1,1
6,24,1
1,17,2
4,5,1
24,12,2
0,10,1
9,7,1
20,7,1
4,6,1
3,6,1
5,1,3
2,64,1
0,6,1
19,22,1
1,1,1
9,10,1
27,7,2
5,1,3
27,26,1
1,6,4
11,16,2
21,6,2
12,20,1
18,11,2
15,23,1
0,0,1
1,220,1
9,4,1
27,48,1
58,139,2
5,11,1
2,4,1
6,3,1
8,2,1
1,12,1
2,8,1
30,35,1
25,22,2
0,4,1
5,1,3
49,109,1
1,14,1
1,8,1
1,1,1
7,1,1
4,4,1
0,0,1
1,13,1
11,5,1
6,1,1
0,4,1
3,3,1
35,33,1
30,126,1
0,0,1
1,1,1
14,1,1
9,8,1
18,5,2
0,87,1
24,11,2
9,11,1
2,32,3
36,84,1
1,3,1
1,6,1
0,7,1
8,13,1
0,1,1
1,83,1
19,27,1
6,29,1
1,3,2
20,10,1
8.728021978,17.35164835,1.230769231
